scenario,seed,window_id,window_start,window_end,target_packets,target_received,background_packets,loss_rate,target_rate,background_rate,mean_delay,p95_delay,p99_delay,received_violation_prob,violation_prob
load_high,23,4,45.0,55.0,1865,1865,120,0.0,186.5,12.0,0.002236616268096515,0.004189032,0.005699757599999999,0.0,0.0
load_high,23,5,55.0,65.0,1872,1872,118,0.0,187.2,11.8,0.0023525343108974357,0.0045407374999999976,0.006312640699999999,0.0005341880341880342,0.0005341880341880342
load_high,23,6,65.0,75.0,1908,1908,121,0.0,190.8,12.1,0.002299543789308176,0.004455616999999999,0.0059347473,0.0005241090146750524,0.0005241090146750524
load_high,23,7,75.0,85.0,1868,1868,118,0.0,186.8,11.8,0.002293783602783726,0.004478499999999996,0.006211880199999999,0.0,0.0
load_high,23,8,85.0,95.0,1848,1848,120,0.0,184.8,12.0,0.0022633416071428576,0.004209808499999999,0.005999323299999998,0.0,0.0
load_high,23,9,95.0,105.0,1838,1838,118,0.0,183.8,11.8,0.002273016860718172,0.004360497499999999,0.005716707199999999,0.0,0.0
load_high,23,10,105.0,115.0,1831,1831,120,0.0,183.1,12.0,0.0022937747132714364,0.004372825,0.00583087,0.0,0.0
load_high,23,11,115.0,125.0,897,897,58,0.0,89.7,5.8,0.0022313197881828318,0.004440589999999996,0.005694509999999998,0.0,0.0
load_high,29,0,5.0,15.0,1823,1823,118,0.0,182.3,11.8,0.0022800975205704882,0.004287879999999998,0.006828884199999994,0.0016456390565002743,0.0016456390565002743
load_high,29,1,15.0,25.0,1791,1791,121,0.0,179.1,12.1,0.002185453199329983,0.004034225000000001,0.005149221999999993,0.0,0.0
load_high,29,2,25.0,35.0,1801,1801,118,0.0,180.1,11.8,0.0022383053026096616,0.00415062,0.00601019,0.0,0.0
load_high,29,3,35.0,45.0,1871,1871,118,0.0,187.1,11.8,0.0022529291394975948,0.004221910000000001,0.005590779999999997,0.0,0.0
load_high,29,4,45.0,55.0,1791,1791,120,0.0,179.1,12.0,0.0022331567392518147,0.004243775,0.005736586999999998,0.0,0.0
load_high,29,5,55.0,65.0,1808,1808,118,0.0,180.8,11.8,0.0023631800884955753,0.0047533069999999965,0.006270813600000005,0.0005530973451327434,0.0005530973451327434
load_high,29,6,65.0,75.0,1870,1870,121,0.0,187.0,12.1,0.002310008219251337,0.0044663035,0.006040840499999999,0.0,0.0
load_high,29,7,75.0,85.0,1862,1862,118,0.0,186.2,11.8,0.002296510349087003,0.004320639499999999,0.005759866499999997,0.0,0.0
load_high,29,8,85.0,95.0,1832,1832,120,0.0,183.2,12.0,0.0022647185152838427,0.004232112999999997,0.0063303474,0.0005458515283842794,0.0005458515283842794
load_high,29,9,95.0,105.0,1939,1939,118,0.0,193.9,11.8,0.002271412093862816,0.004371331,0.005732710799999991,0.0,0.0
load_high,29,10,105.0,115.0,1918,1918,120,0.0,191.8,12.0,0.002314077763295099,0.004514369,0.006757122199999981,0.0,0.0
load_high,29,11,115.0,125.0,969,969,58,0.0,96.9,5.8,0.0023523576470588234,0.004559321999999994,0.006917358799999999,0.0,0.0
load_high,31,0,5.0,15.0,1843,1843,118,0.0,184.3,11.8,0.002322918106348345,0.004490238,0.006464895399999998,0.0,0.0
load_high,31,1,15.0,25.0,1829,1829,121,0.0,182.9,12.1,0.0023245039584472386,0.0045225119999999985,0.006434498800000001,0.0,0.0
load_high,31,2,25.0,35.0,1804,1804,118,0.0,180.4,11.8,0.002245966707317073,0.004264711499999999,0.0059516649000000005,0.0005543237250554324,0.0005543237250554324
load_high,31,3,35.0,45.0,1911,1911,118,0.0,191.1,11.8,0.0022563235007849293,0.00416345,0.005720170000000011,0.0,0.0
load_high,31,4,45.0,55.0,1919,1919,120,0.0,191.9,12.0,0.0023269334288692025,0.004589651999999998,0.006348530599999998,0.0,0.0
load_high,31,5,55.0,65.0,1794,1794,118,0.0,179.4,11.8,0.002245269988851728,0.004079118999999998,0.0053327020999999995,0.0,0.0
load_high,31,6,65.0,75.0,1890,1890,121,0.0,189.0,12.1,0.0022833699523809523,0.004430200499999998,0.006440747099999975,0.0005291005291005291,0.0005291005291005291
load_high,31,7,75.0,85.0,1842,1842,118,0.0,184.2,11.8,0.002212560347448425,0.003968962499999998,0.005404344299999994,0.0,0.0
load_high,31,8,85.0,95.0,1886,1886,120,0.0,188.6,12.0,0.002233142613997879,0.00406475,0.005416088000000005,0.0,0.0
load_high,31,9,95.0,105.0,1875,1875,118,0.0,187.5,11.8,0.0022929726613333335,0.00449621,0.0058719997999999995,0.0,0.0
load_high,31,10,105.0,115.0,1942,1942,120,0.0,194.2,12.0,0.0022779301802265703,0.004451265499999998,0.005976123299999996,0.001544799176107106,0.001544799176107106
load_high,31,11,115.0,125.0,881,881,58,0.0,88.1,5.8,0.002248235675368899,0.00425531,0.005512972,0.0,0.0
load_high,37,0,5.0,15.0,1844,1843,118,0.0005422993492407713,184.4,11.8,0.0022536936625067827,0.004161364999999996,0.005813694599999988,0.0010851871947911015,0.0016268980477223427
