seed,scenario,variant,variant_label,delay_mae,risk_mae,coverage,auroc,recall_at_10
19,vacation_high,delta_u_0.12,$\delta_u=0.12$,0.0509348246933639,0.1890365807191599,0.92,0.8531555555555556,0.44
19,drift_strong,delta_u_0.12,$\delta_u=0.12$,0.5950235331911714,1.3083158176530543,0.688,0.7376,0.28
19,overall,delta_u_0.16,$\delta_u=0.16$,0.016928267241889793,0.057161503476149775,0.976,0.8736,0.4
19,load_high,delta_u_0.16,$\delta_u=0.16$,0.1250214708297208,0.4563080253874277,0.696,0.7708444444444444,0.16
19,vacation_high,delta_u_0.16,$\delta_u=0.16$,0.0509348246933639,0.1890365807191599,0.92,0.8531555555555556,0.44
19,drift_strong,delta_u_0.16,$\delta_u=0.16$,0.5950235331911714,1.3083158176530543,0.688,0.7376,0.28
23,overall,baseline,Baseline,0.014650774051657704,0.052371051174649755,0.98,0.8654222222222222,0.44
23,load_high,baseline,Baseline,0.12734212145976867,0.4769892535088683,0.696,0.7635555555555555,0.28
23,vacation_high,baseline,Baseline,0.04806338258803515,0.16968687732349808,0.944,0.8195555555555556,0.4
23,drift_strong,baseline,Baseline,0.6990417874950667,1.4626466354135044,0.676,0.8156444444444444,0.4
23,overall,c_v_0x,$c_v$ 0x,0.014662554041843481,0.05271659082608399,0.98,0.8656,0.44
