seed,scenario,method,delay_mae,risk_mae,coverage,auroc,recall_at_10
79,drift_strong,learned_descriptor,0.6848666161526196,1.4133777112700705,0.66,0.8437333333333333,0.48
79,drift_strong,observable_descriptor,0.820536072650125,1.581288420818703,0.82,0.8940444444444444,0.44
83,overall,learned_descriptor,0.015612038997839289,0.05470699130660721,0.98,0.8892444444444444,0.52
83,overall,observable_descriptor,0.01653683662714388,0.05319980100053249,0.988,0.8810666666666667,0.48
83,load_high,learned_descriptor,0.15772605644298796,0.5688382513414427,0.7,0.7683555555555556,0.16
83,load_high,observable_descriptor,0.2036630943225286,0.6401189351303112,0.944,0.8627555555555556,0.44
83,vacation_high,learned_descriptor,0.04946148317399613,0.1867641546850057,0.956,0.8334222222222222,0.32
83,vacation_high,observable_descriptor,0.05060666696570892,0.18606831132139728,0.972,0.8915555555555555,0.44
83,drift_strong,learned_descriptor,0.6137940711537825,1.2936563938333074,0.72,0.8924444444444445,0.44
83,drift_strong,observable_descriptor,0.7043959820564685,1.4139521256482896,0.86,0.8876444444444445,0.36
